Noxian Exile,100,TOP,True,1903,Garen,10,0,9,218,24,15487,20481,213,15982,4285,16071,3665,31581,0,9,7,15760,1,28304,33,101,21,11,3,2,False,False,False,True,2,0,0,0,7.1,7.5,6.6,,,501,509.3,596.4,,,311,567,515.7,,
whathead,100,JUNGLE,True,1903,JarvanIV,6,4,17,37,92,11358,10845,1580,8880,384,22687,4888,23503,56,4,2,2747,0,25278,26,311,20,5,6,0,True,False,True,False,1,0,0,0,0.1,0.6,2.2,,,253.5,345.5,365.4,,,308.7,371.20000000000005,308.8,,
Candle King,100,MIDDLE,True,1903,Zoe,6,2,13,139,4,10883,16628,12682,1732,2213,9841,1613,5286,4,0,0,3003,1,9908,27,117,37,16,6,6,False,False,False,False,0,0,0,0,6.3,4.7,2.6,,,482.1,365.6,335.6,,,318.5,352.6,299.2,,
Bowling Pin,100,BOTTOM,True,1903,Twitch,4,1,9,155,32,11557,10188,678,7854,1656,9127,2116,5918,16,8,1,3788,1,15214,15,458,26,7,4,2,False,False,False,False,1,0,0,0,4.800000000000001,4.5,5.4,,,315.1,348.7,362.5,,,190.5,343.7,428.5,,
Poptartism,100,BOTTOM,True,1903,Nami,1,0,17,16,0,7906,4895,3531,754,610,3583,10595,3504,0,0,1,2209,0,3242,15,87,70,30,13,9,False,False,False,False,0,0,0,0,0,0.5,0.8999999999999999,,,266.7,280.9,403.7,,,132.3,265.8,283.2,,
LastOfADyingBrEd,200,TOP,False,1903,875,1,7,2,149,4,8250,6077,0,4552,1524,19374,210,16175,4,0,0,1278,0,1293,18,89,20,6,5,3,False,False,False,False,0,0,0,0,4.5,5.6,4.5,,,363,423.9,359.9,,,204,296.7,249,,
N1zero,200,JUNGLE,False,1903,Vi,1,8,4,70,126,10126,6268,0,5620,647,20699,5647,20842,104,0,0,0,0,8431,16,249,23,5,5,4,False,False,False,False,0,0,0,0,0.1,0.5,5.2,,,287.5,354.6,523.5999999999999,,,238.5,352.29999999999995,321.9,,
xDanceGavinDance,200,MIDDLE,False,1903,Galio,4,5,3,149,4,9447,13125,12415,51,658,20057,225,20180,4,0,0,0,0,260,35,76,12,11,0,3,False,False,False,False,0,0,0,0,5.4,3.4,5.4,,,426,293.9,414.8,,,204.5,321.5,328.8,,
Muddey,200,BOTTOM,False,1903,Kaisa,1,2,1,228,8,10135,8014,2242,5286,485,9269,875,3858,4,0,0,150,0,353,0,0,27,6,8,4,False,False,False,False,0,0,0,0,8.3,7.4,6.699999999999999,,,317.7,373.1,372.6,,,287.6,285.9,354.3,,
Mxn Potato,200,BOTTOM,False,1903,Nautilus,0,5,3,31,0,5919,4373,3119,914,339,16519,873,22771,0,0,0,0,0,273,36,296,63,38,6,7,False,False,False,False,0,0,0,0,1.1,1.2,0.7,,,290.6,205.10000000000002,287.9,,,156.1,185.8,173.6,,
