ToniTop,100,NONE,False,1055,Zac,0,4,0,74,0,4007,3665,3191,224,249,12895,6260,5797,0,0,0,0,0,0,16,119,9,6,0,2,False,False,False,False,0,0,0,0,4.3,,,,,395.7,,,,,193.8,,,,
ºGøNº,100,NONE,False,1055,Skarner,0,5,1,5,68,4359,1953,676,1089,187,12410,3719,9951,56,0,0,0,0,2228,10,346,13,3,2,2,False,False,False,False,0,0,0,0,0.1,,,,,217.4,,,,,207,,,,
cutegirlflower22,100,NONE,False,1055,Lissandra,1,7,0,74,0,4675,4131,2546,1345,240,11004,561,3861,0,0,0,0,0,215,11,109,7,3,0,1,False,False,False,False,0,0,0,0,5,,,,,368.9,,,,,202.2,,,,
Míschief,100,NONE,False,1055,Ashe,0,3,0,90,0,4356,3147,339,2807,0,5737,199,1751,0,0,0,0,0,0,17,255,5,2,1,0,False,False,False,False,0,0,0,0,5.5,,,,,278.3,,,,,213.89999999999998,,,,
Kéria,100,NONE,False,1055,Leona,0,4,1,18,0,3418,1048,658,389,0,7516,133,6795,0,0,0,0,0,0,8,16,28,14,3,6,False,False,False,False,0,0,0,0,1,,,,,261,,,,,145.6,,,,
rgrou2,200,NONE,True,1055,Urgot,7,0,3,136,0,9017,9960,100,8256,1603,5556,1355,5621,0,0,1,4480,0,4480,18,218,9,3,3,0,False,False,False,False,1,1,0,0,7.7,,,,,505.2,,,,,331.5,,,,
ninjamønkey,200,NONE,True,1055,JarvanIV,4,1,12,15,100,7616,5474,782,3791,900,14780,6762,9503,68,4,0,546,0,20904,12,263,20,5,2,4,True,False,False,True,0,0,0,0,0.2,,,,,380.3,,,,,350.7,,,,
Earleking,200,NONE,True,1055,Galio,11,0,2,136,4,9552,14905,14169,446,289,8598,68,8861,0,4,1,3169,0,3683,25,64,14,6,1,4,False,False,False,False,2,0,0,0,7.199999999999999,,,,,464,,,,,390.5,,,,
SushiMunster,200,NONE,True,1055,Caitlyn,1,0,5,113,4,6710,6448,53,6395,0,3358,905,1836,0,4,3,4990,0,4990,9,13,10,7,0,3,False,False,False,False,0,0,0,0,7.699999999999999,,,,,312.9,,,,,302.9,,,,
Vexrax,200,NONE,True,1055,Rakan,0,0,14,17,0,5464,3365,2230,832,301,4642,1564,7539,0,0,1,2939,0,7149,15,48,18,11,1,3,False,False,False,True,0,0,0,0,1.1,,,,,304.4,,,,,214.3,,,,
rgrou2,100,TOP,True,1452,Mordekaiser,4,3,10,119,0,8640,11188,9920,1268,0,16200,6292,18094,0,0,1,1135,0,9219,6,68,12,9,1,4,False,False,False,False,1,0,0,0,6.6,4.9,,,,442.20000000000005,427.20000000000005,,,,250.10000000000002,352.1,,,
ninjamønkey,100,JUNGLE,True,1452,Zac,5,2,15,27,106,9347,10751,9005,1246,500,23492,23618,20605,78,0,2,941,0,19274,38,422,24,4,8,4,False,False,False,False,1,0,0,0,0.1,0.8,,,,273.9,474.79999999999995,,,,291.6,364,,,
Earleking,100,MIDDLE,True,1452,Garen,12,1,8,144,4,12724,17695,653,13724,3317,14727,3088,16035,0,0,3,11338,1,17045,35,75,24,10,2,4,False,False,False,False,1,0,0,0,7.199999999999999,5.3,,,,469.7,462.2,,,,277.4,636.4,,,
